index,movie_title,movie_year,movie_rating,movie_votes_count,title_word_count,link_url
968,The Others,2001,7.6,353949,2,https://www.imdb.com/title/tt0230600/
969,Minority Report,2002,7.6,531333,2,https://www.imdb.com/title/tt0181689/
970,American Psycho,2000,7.6,537555,2,https://www.imdb.com/title/tt0144084/
971,The Thin Red Line,1998,7.6,181953,4,https://www.imdb.com/title/tt0120863/
972,Dark City,1998,7.6,195108,2,https://www.imdb.com/title/tt0118929/
973,Lost Highway,1997,7.6,137630,2,https://www.imdb.com/title/tt0116922/
974,The Bridges of Madison County,1995,7.6,78160,5,https://www.imdb.com/title/tt0112579/
975,Apollo 13,1995,7.6,283828,2,https://www.imdb.com/title/tt0112384/
976,Three Colors: White,1994,7.6,70507,3,https://www.imdb.com/title/tt0111507/
977,Dazed and Confused,1993,7.6,176009,3,https://www.imdb.com/title/tt0106677/
978,My Cousin Vinny,1992,7.6,116677,3,https://www.imdb.com/title/tt0104952/
979,Only Yesterday,1991,7.6,30155,2,https://www.imdb.com/title/tt0102587/
980,Home Alone,1990,7.6,525014,2,https://www.imdb.com/title/tt0099785/
981,When Harry Met Sally...,1989,7.6,208013,4,https://www.imdb.com/title/tt0098635/
982,The Naked Gun: From the Files of Police Squad!,1988,7.6,162110,9,https://www.imdb.com/title/tt0095705/
983,Withnail & I,1987,7.6,42635,3,https://www.imdb.com/title/tt0094336/
984,Lethal Weapon,1987,7.6,248738,2,https://www.imdb.com/title/tt0093409/
985,Blood Simple,1984,7.6,93138,2,https://www.imdb.com/title/tt0086979/
986,The Road Warrior,1981,7.6,174455,3,https://www.imdb.com/title/tt0082694/
987,Lupin III: The Castle of Cagliostro,1979,7.6,29433,6,https://www.imdb.com/title/tt0079833/
988,Close Encounters of the Third Kind,1977,7.6,194358,6,https://www.imdb.com/title/tt0075860/
989,The Tenant,1976,7.6,42558,2,https://www.imdb.com/title/tt0074811/
990,"Duck, You Sucker!",1971,7.6,33469,3,https://www.imdb.com/title/tt0067140/
